Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas100 Pavardė100 4 6 8 9 10 6
Vardas11 Pavardė11 5 8 9 10 10 5
Vardas12 Pavardė12 3 3 4 4 8 8
Vardas13 Pavardė13 3 4 5 6 9 9
Vardas14 Pavardė14 5 7 7 8 10 4
Vardas15 Pavardė15 6 9 9 10 10 9
Vardas16 Pavardė16 2 3 5 6 10 10
Vardas18 Pavardė18 4 5 7 8 10 10
Vardas19 Pavardė19 3 7 7 8 9 6
Vardas20 Pavardė20 2 4 5 6 10 5
Vardas21 Pavardė21 3 4 5 8 10 9
Vardas23 Pavardė23 3 4 5 9 10 8
Vardas25 Pavardė25 4 6 7 7 8 7
Vardas26 Pavardė26 2 6 8 8 10 10
Vardas28 Pavardė28 4 6 9 9 10 8
Vardas3 Pavardė3 2 5 7 7 10 6
Vardas30 Pavardė30 4 5 9 10 10 10
Vardas32 Pavardė32 2 5 6 9 10 6
Vardas34 Pavardė34 4 5 6 7 8 6
Vardas36 Pavardė36 2 4 5 8 8 9
Vardas37 Pavardė37 3 5 5 6 9 5
Vardas38 Pavardė38 2 2 4 7 10 9
Vardas4 Pavardė4 4 5 8 9 10 9
Vardas42 Pavardė42 3 8 8 9 10 8
Vardas43 Pavardė43 4 5 6 7 10 7
Vardas45 Pavardė45 7 7 9 10 10 10
Vardas46 Pavardė46 4 4 4 8 8 8
Vardas47 Pavardė47 3 3 5 5 9 8
Vardas48 Pavardė48 5 7 8 10 10 9
Vardas49 Pavardė49 4 6 7 8 8 8
Vardas51 Pavardė51 2 2 5 7 8 8
Vardas52 Pavardė52 4 7 8 8 10 10
Vardas54 Pavardė54 2 2 6 10 10 6
Vardas55 Pavardė55 2 4 6 6 8 6
Vardas56 Pavardė56 5 7 8 8 9 10
Vardas58 Pavardė58 3 6 8 8 9 8
Vardas59 Pavardė59 2 4 6 10 10 6
Vardas6 Pavardė6 3 5 8 9 10 5
Vardas60 Pavardė60 2 4 4 5 10 6
Vardas61 Pavardė61 2 3 4 5 7 10
Vardas62 Pavardė62 4 4 5 7 8 9
Vardas63 Pavardė63 2 5 7 8 8 5
Vardas69 Pavardė69 5 6 7 8 10 9
Vardas70 Pavardė70 2 5 6 8 10 10
Vardas72 Pavardė72 3 4 4 4 7 9
Vardas74 Pavardė74 2 2 5 6 10 6
Vardas75 Pavardė75 3 3 4 6 10 10
Vardas77 Pavardė77 2 3 4 5 8 10
Vardas78 Pavardė78 3 4 4 7 10 9
Vardas79 Pavardė79 4 6 7 7 9 10
Vardas8 Pavardė8 3 4 6 6 7 8
Vardas81 Pavardė81 2 2 6 8 10 10
Vardas83 Pavardė83 3 3 4 5 9 8
Vardas84 Pavardė84 3 7 7 8 9 9
Vardas88 Pavardė88 2 3 3 5 10 6
Vardas89 Pavardė89 5 9 9 10 10 8
Vardas9 Pavardė9 5 5 7 7 8 6
Vardas92 Pavardė92 2 3 5 5 6 9
Vardas94 Pavardė94 3 4 6 7 10 6
Vardas95 Pavardė95 2 4 4 8 9 7
Vardas96 Pavardė96 3 5 8 9 10 6
Vardas98 Pavardė98 6 7 8 8 9 8
Vardas99 Pavardė99 3 7 9 9 10 7
