Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 2 4 4 6 9 2
Vardas2 Pavardė2 2 2 7 7 9 9
Vardas3 Pavardė3 2 2 3 4 7 6
Vardas4 Pavardė4 3 8 10 10 10 7
Vardas5 Pavardė5 2 3 5 6 7 6
Vardas6 Pavardė6 2 3 7 8 10 9
Vardas7 Pavardė7 4 5 8 9 10 4
Vardas8 Pavardė8 2 6 6 7 8 8
Vardas9 Pavardė9 4 6 7 7 7 5
Vardas10 Pavardė10 2 5 6 6 10 10
Vardas11 Pavardė11 3 5 5 7 8 2
Vardas12 Pavardė12 4 5 6 6 9 7
Vardas13 Pavardė13 4 5 6 6 8 8
Vardas14 Pavardė14 2 3 5 6 9 8
Vardas15 Pavardė15 2 2 4 4 9 3
Vardas16 Pavardė16 3 4 6 8 9 8
Vardas17 Pavardė17 4 7 9 10 10 3
Vardas18 Pavardė18 4 6 9 9 10 4
Vardas19 Pavardė19 2 6 6 8 8 3
Vardas20 Pavardė20 4 6 6 7 10 6
Vardas21 Pavardė21 3 5 5 6 7 5
Vardas22 Pavardė22 2 2 3 5 6 9
Vardas23 Pavardė23 3 3 6 8 10 8
Vardas24 Pavardė24 3 3 3 5 6 9
Vardas25 Pavardė25 2 2 2 8 9 4
Vardas26 Pavardė26 3 4 7 7 10 4
Vardas27 Pavardė27 2 5 5 7 9 7
Vardas28 Pavardė28 4 5 7 7 8 9
Vardas29 Pavardė29 2 4 6 8 10 7
Vardas30 Pavardė30 2 3 4 5 6 2
Vardas31 Pavardė31 3 6 8 8 10 5
Vardas32 Pavardė32 2 5 5 6 10 3
Vardas33 Pavardė33 2 3 3 5 5 4
Vardas34 Pavardė34 5 6 6 9 10 8
Vardas35 Pavardė35 4 9 10 10 10 6
Vardas36 Pavardė36 4 4 5 6 10 6
Vardas37 Pavardė37 3 3 7 9 10 8
Vardas38 Pavardė38 2 3 8 10 10 6
Vardas39 Pavardė39 4 6 8 9 9 10
Vardas40 Pavardė40 3 4 5 9 10 2
Vardas41 Pavardė41 2 3 5 5 9 7
Vardas42 Pavardė42 5 6 6 7 9 4
Vardas43 Pavardė43 4 5 7 8 10 8
Vardas44 Pavardė44 4 5 6 9 10 8
Vardas45 Pavardė45 4 6 8 8 9 2
Vardas46 Pavardė46 5 6 7 9 9 2
Vardas47 Pavardė47 4 5 7 8 8 10
Vardas48 Pavardė48 3 4 5 8 10 2
Vardas49 Pavardė49 2 3 7 9 10 8
Vardas50 Pavardė50 2 3 5 6 7 4
Vardas51 Pavardė51 3 6 7 7 9 3
Vardas52 Pavardė52 2 4 6 7 10 3
Vardas53 Pavardė53 2 3 5 8 9 10
Vardas54 Pavardė54 2 3 7 8 8 10
Vardas55 Pavardė55 2 3 4 6 8 7
Vardas56 Pavardė56 3 3 4 4 7 4
Vardas57 Pavardė57 3 5 7 9 9 10
Vardas58 Pavardė58 2 2 3 4 9 8
Vardas59 Pavardė59 3 5 7 9 9 2
Vardas60 Pavardė60 5 6 7 7 8 5
Vardas61 Pavardė61 2 4 7 7 8 10
Vardas62 Pavardė62 4 5 6 7 9 5
Vardas63 Pavardė63 2 3 3 7 9 4
Vardas64 Pavardė64 4 5 6 7 10 2
Vardas65 Pavardė65 6 7 8 10 10 2
Vardas66 Pavardė66 4 7 7 7 9 8
Vardas67 Pavardė67 3 4 10 10 10 7
