Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas10 Pavardė10 6 6 8 9 10 2
Vardas100 Pavardė100 4 6 7 8 10 3
Vardas10000 Pavardė10000 2 2 4 7 9 2
Vardas1002 Pavardė1002 2 4 7 7 9 2
Vardas1004 Pavardė1004 3 4 4 9 10 2
Vardas1009 Pavardė1009 2 3 4 5 7 4
Vardas1016 Pavardė1016 3 5 5 7 10 3
Vardas1017 Pavardė1017 4 7 7 9 10 3
Vardas1019 Pavardė1019 2 5 7 7 8 3
Vardas1029 Pavardė1029 3 5 5 6 9 3
Vardas1030 Pavardė1030 2 3 4 7 10 4
Vardas1032 Pavardė1032 2 4 4 5 8 3
Vardas1033 Pavardė1033 2 3 4 6 8 5
Vardas1037 Pavardė1037 6 6 8 8 8 3
Vardas1041 Pavardė1041 4 7 8 8 9 3
Vardas1047 Pavardė1047 2 4 4 4 4 2
Vardas1050 Pavardė1050 2 2 4 5 6 5
Vardas1051 Pavardė1051 3 6 9 9 10 3
Vardas1054 Pavardė1054 3 4 4 6 7 5
Vardas1055 Pavardė1055 3 3 4 4 6 3
Vardas1057 Pavardė1057 2 6 7 10 10 4
Vardas1060 Pavardė1060 2 4 7 7 9 3
Vardas1070 Pavardė1070 4 5 5 8 9 4
Vardas1072 Pavardė1072 3 4 8 9 10 3
Vardas1073 Pavardė1073 3 3 7 7 9 4
Vardas1074 Pavardė1074 5 6 8 8 8 2
Vardas1075 Pavardė1075 2 2 3 5 6 5
Vardas1076 Pavardė1076 2 3 3 4 7 4
Vardas1077 Pavardė1077 2 6 7 9 10 3
Vardas1081 Pavardė1081 3 7 7 8 9 2
Vardas1086 Pavardė1086 3 6 6 7 10 3
Vardas109 Pavardė109 4 4 7 8 10 4
Vardas1090 Pavardė1090 3 6 7 8 8 3
Vardas1091 Pavardė1091 4 5 6 6 9 2
Vardas1093 Pavardė1093 2 4 7 9 10 2
Vardas1095 Pavardė1095 3 4 5 8 9 2
Vardas1099 Pavardė1099 3 4 6 9 9 4
Vardas1100 Pavardė1100 5 5 5 7 7 4
Vardas1102 Pavardė1102 3 3 4 5 6 3
Vardas1104 Pavardė1104 2 5 5 6 9 3
Vardas1105 Pavardė1105 3 3 6 7 8 4
Vardas111 Pavardė111 2 4 4 5 7 4
Vardas1113 Pavardė1113 2 5 6 7 9 4
Vardas1115 Pavardė1115 2 3 3 7 9 4
Vardas1116 Pavardė1116 2 2 4 5 6 3
Vardas1118 Pavardė1118 2 3 5 7 9 4
Vardas1119 Pavardė1119 2 3 5 8 10 3
Vardas1125 Pavardė1125 4 6 7 8 9 3
Vardas1127 Pavardė1127 3 3 6 10 10 2
Vardas1128 Pavardė1128 2 2 5 9 9 4
Vardas1133 Pavardė1133 7 7 7 7 8 4
