Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 4 5 6 7 10 3
Vardas10 Pavardė10 3 4 7 9 10 4
Vardas100 Pavardė100 2 3 6 9 10 4
Vardas101 Pavardė101 4 6 6 8 8 2
Vardas106 Pavardė106 2 5 6 8 10 3
Vardas108 Pavardė108 2 5 7 8 10 2
Vardas109 Pavardė109 2 2 3 3 7 3
Vardas110 Pavardė110 2 4 8 9 9 3
Vardas117 Pavardė117 2 3 3 6 10 3
Vardas118 Pavardė118 5 5 6 7 10 4
Vardas121 Pavardė121 2 2 2 7 8 5
Vardas122 Pavardė122 2 3 3 9 9 2
Vardas125 Pavardė125 2 3 9 10 10 2
Vardas127 Pavardė127 4 4 7 8 9 2
Vardas129 Pavardė129 5 6 10 10 10 3
Vardas133 Pavardė133 3 3 3 4 9 5
Vardas134 Pavardė134 3 5 6 7 8 3
Vardas138 Pavardė138 2 3 8 9 10 3
Vardas14 Pavardė14 4 6 8 9 9 4
Vardas146 Pavardė146 2 4 5 6 7 2
Vardas147 Pavardė147 4 4 5 6 9 3
Vardas15 Pavardė15 5 8 9 9 10 2
Vardas153 Pavardė153 3 4 4 6 9 4
Vardas155 Pavardė155 3 4 6 6 8 4
Vardas156 Pavardė156 2 2 3 8 9 3
Vardas157 Pavardė157 4 6 9 9 10 2
Vardas158 Pavardė158 3 4 6 8 9 3
Vardas16 Pavardė16 2 3 3 3 7 5
Vardas165 Pavardė165 2 3 7 7 7 3
Vardas167 Pavardė167 2 4 6 7 9 3
Vardas169 Pavardė169 4 5 7 7 9 4
Vardas171 Pavardė171 3 6 7 8 10 2
Vardas174 Pavardė174 3 4 5 7 10 2
Vardas175 Pavardė175 3 3 3 4 7 4
Vardas178 Pavardė178 4 5 7 7 10 2
Vardas179 Pavardė179 2 3 3 5 9 2
Vardas18 Pavardė18 2 5 5 6 6 2
Vardas182 Pavardė182 6 6 6 7 8 3
Vardas183 Pavardė183 4 5 7 7 7 4
Vardas185 Pavardė185 2 3 3 6 7 5
Vardas188 Pavardė188 2 4 5 6 7 3
Vardas192 Pavardė192 2 4 8 9 10 2
Vardas196 Pavardė196 2 4 6 9 9 2
Vardas197 Pavardė197 3 4 5 9 10 2
Vardas2 Pavardė2 3 5 6 7 10 4
Vardas21 Pavardė21 2 3 4 9 10 4
Vardas25 Pavardė25 2 4 8 9 10 2
Vardas27 Pavardė27 2 5 5 9 10 4
Vardas28 Pavardė28 2 4 6 7 9 4
Vardas29 Pavardė29 2 5 8 9 10 3
Vardas3 Pavardė3 2 3 5 8 9 2
Vardas30 Pavardė30 2 2 4 5 6 3
Vardas39 Pavardė39 3 5 5 7 9 2
Vardas4 Pavardė4 3 3 4 8 10 2
Vardas40 Pavardė40 5 5 6 6 10 4
Vardas41 Pavardė41 2 5 5 5 5 3
Vardas42 Pavardė42 2 4 5 6 10 2
Vardas43 Pavardė43 4 4 6 7 10 3
Vardas45 Pavardė45 4 4 4 5 5 4
Vardas47 Pavardė47 3 5 7 9 9 2
Vardas48 Pavardė48 2 2 3 5 6 2
Vardas49 Pavardė49 5 8 8 9 9 3
Vardas51 Pavardė51 3 6 7 9 10 2
Vardas54 Pavardė54 4 4 4 10 10 4
Vardas56 Pavardė56 5 6 8 8 9 2
Vardas59 Pavardė59 2 7 9 9 9 4
Vardas61 Pavardė61 2 3 3 4 10 3
Vardas66 Pavardė66 3 4 6 7 9 4
Vardas76 Pavardė76 4 6 6 8 8 4
Vardas79 Pavardė79 3 5 7 7 10 2
Vardas8 Pavardė8 3 5 7 10 10 3
Vardas82 Pavardė82 3 5 7 9 10 3
Vardas88 Pavardė88 2 2 3 5 9 3
Vardas9 Pavardė9 2 5 5 5 9 2
Vardas91 Pavardė91 2 2 3 8 10 2
Vardas95 Pavardė95 2 2 5 9 10 3
Vardas98 Pavardė98 2 6 6 7 9 4
Vardas99 Pavardė99 4 5 6 7 7 4
