Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 4 5 5 6 10 3
Vardas2 Pavardė2 2 3 7 9 9 2
Vardas3 Pavardė3 3 4 5 5 5 6
Vardas4 Pavardė4 2 3 5 6 9 4
Vardas5 Pavardė5 4 5 7 9 10 2
Vardas6 Pavardė6 2 5 5 5 7 7
Vardas7 Pavardė7 2 3 3 3 9 9
Vardas8 Pavardė8 2 3 4 5 7 4
Vardas9 Pavardė9 4 6 8 9 10 8
Vardas10 Pavardė10 5 5 5 9 9 4
Vardas11 Pavardė11 3 3 4 5 8 10
Vardas12 Pavardė12 3 6 6 7 10 8
Vardas13 Pavardė13 2 3 3 4 6 6
Vardas14 Pavardė14 2 4 6 9 10 9
Vardas15 Pavardė15 3 5 7 9 9 10
Vardas16 Pavardė16 4 4 5 6 10 6
Vardas17 Pavardė17 3 6 7 9 9 8
Vardas18 Pavardė18 3 4 8 9 9 8
Vardas19 Pavardė19 3 5 6 8 9 8
Vardas20 Pavardė20 3 5 5 6 7 7
Vardas21 Pavardė21 4 5 5 7 10 3
Vardas22 Pavardė22 2 4 6 8 9 9
Vardas23 Pavardė23 3 4 5 7 7 10
Vardas24 Pavardė24 7 7 8 8 9 2
Vardas25 Pavardė25 2 7 8 9 10 5
Vardas26 Pavardė26 4 4 4 6 9 9
Vardas27 Pavardė27 2 4 5 5 10 10
Vardas28 Pavardė28 2 3 5 7 9 10
Vardas29 Pavardė29 2 5 5 9 9 8
Vardas30 Pavardė30 2 5 7 7 10 8
Vardas31 Pavardė31 3 3 4 6 10 10
Vardas32 Pavardė32 2 2 2 3 4 5
Vardas33 Pavardė33 3 4 4 6 9 9
Vardas34 Pavardė34 4 4 6 10 10 2
Vardas35 Pavardė35 2 5 10 10 10 7
Vardas36 Pavardė36 3 6 8 10 10 10
Vardas37 Pavardė37 6 8 8 9 10 9
Vardas38 Pavardė38 2 3 3 7 8 10
Vardas39 Pavardė39 4 5 6 9 10 7
Vardas40 Pavardė40 6 6 7 8 10 8
Vardas41 Pavardė41 2 3 3 3 10 3
Vardas42 Pavardė42 2 3 3 7 9 2
Vardas43 Pavardė43 4 6 6 7 10 5
Vardas44 Pavardė44 9 9 9 9 10 5
Vardas45 Pavardė45 2 2 2 5 6 5
Vardas46 Pavardė46 3 4 4 5 8 9
Vardas47 Pavardė47 6 7 9 9 10 7
Vardas48 Pavardė48 2 6 6 7 9 10
Vardas49 Pavardė49 2 5 5 7 10 4
Vardas50 Pavardė50 3 3 5 7 9 7
Vardas51 Pavardė51 2 3 6 7 10 3
Vardas52 Pavardė52 3 4 7 8 10 8
Vardas53 Pavardė53 2 2 3 5 9 2
Vardas54 Pavardė54 3 6 6 8 10 4
Vardas55 Pavardė55 7 9 9 9 9 2
Vardas56 Pavardė56 6 8 10 10 10 7
Vardas57 Pavardė57 2 3 8 8 9 8
Vardas58 Pavardė58 6 8 9 10 10 4
Vardas59 Pavardė59 2 6 7 9 10 6
Vardas60 Pavardė60 3 3 5 6 7 2
Vardas61 Pavardė61 3 3 3 3 5 8
Vardas62 Pavardė62 2 3 3 4 7 3
Vardas63 Pavardė63 3 3 4 5 7 3
Vardas64 Pavardė64 3 4 4 9 9 10
Vardas65 Pavardė65 2 3 6 7 9 4
Vardas66 Pavardė66 5 5 7 7 8 6
Vardas67 Pavardė67 5 6 7 9 9 10
Vardas68 Pavardė68 4 4 6 9 10 4
Vardas69 Pavardė69 4 5 7 9 9 7
Vardas70 Pavardė70 3 6 9 9 10 4
Vardas71 Pavardė71 2 4 7 8 10 7
Vardas72 Pavardė72 5 6 6 7 8 6
Vardas73 Pavardė73 2 6 7 8 9 4
Vardas74 Pavardė74 4 6 7 8 8 2
Vardas75 Pavardė75 6 7 7 8 10 8
Vardas76 Pavardė76 3 6 8 9 9 7
Vardas77 Pavardė77 2 4 6 6 8 7
Vardas78 Pavardė78 2 3 7 9 10 2
Vardas79 Pavardė79 2 3 4 5 9 3
Vardas80 Pavardė80 2 2 7 9 10 10
Vardas81 Pavardė81 2 4 8 10 10 2
Vardas82 Pavardė82 3 5 6 7 9 9
Vardas83 Pavardė83 3 5 7 8 8 4
Vardas84 Pavardė84 2 4 6 10 10 2
Vardas85 Pavardė85 4 5 7 10 10 5
Vardas86 Pavardė86 4 4 6 6 10 10
Vardas87 Pavardė87 2 3 3 9 10 6
Vardas88 Pavardė88 2 2 6 8 8 4
Vardas89 Pavardė89 3 4 8 9 10 7
Vardas90 Pavardė90 2 3 5 8 8 2
Vardas91 Pavardė91 4 6 6 8 10 10
Vardas92 Pavardė92 6 6 7 7 9 9
Vardas93 Pavardė93 3 6 8 9 10 4
Vardas94 Pavardė94 3 5 8 9 10 6
Vardas95 Pavardė95 3 3 5 7 8 7
Vardas96 Pavardė96 4 7 8 9 10 2
Vardas97 Pavardė97 6 7 9 9 9 8
Vardas98 Pavardė98 2 3 7 8 10 6
Vardas99 Pavardė99 3 4 4 8 9 10
Vardas100 Pavardė100 2 4 6 7 8 7
