Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 3 4 5 6 10 5
Vardas1000 Pavardė1000 5 7 7 9 10 5
Vardas1001 Pavardė1001 2 4 5 7 9 5
Vardas1003 Pavardė1003 2 6 7 8 10 8
Vardas1005 Pavardė1005 6 9 9 10 10 10
Vardas1006 Pavardė1006 7 9 9 9 10 5
Vardas1007 Pavardė1007 4 6 9 9 10 6
Vardas1008 Pavardė1008 7 7 7 8 10 10
Vardas101 Pavardė101 3 6 7 7 9 8
Vardas1010 Pavardė1010 2 3 4 7 7 7
Vardas1011 Pavardė1011 3 4 5 7 10 9
Vardas1012 Pavardė1012 2 2 2 7 10 8
Vardas1013 Pavardė1013 4 4 6 7 10 8
Vardas1014 Pavardė1014 2 4 5 5 7 7
Vardas1015 Pavardė1015 3 3 4 7 10 9
Vardas1018 Pavardė1018 2 4 6 9 10 8
Vardas102 Pavardė102 2 6 8 9 9 10
Vardas1020 Pavardė1020 2 3 4 7 9 10
Vardas1021 Pavardė1021 2 4 7 8 9 8
Vardas1022 Pavardė1022 2 4 4 6 10 7
Vardas1023 Pavardė1023 4 4 6 8 10 7
Vardas1024 Pavardė1024 6 8 9 10 10 8
Vardas1025 Pavardė1025 3 8 8 9 9 7
Vardas1026 Pavardė1026 4 7 7 7 9 9
Vardas1027 Pavardė1027 4 5 7 7 9 6
Vardas1028 Pavardė1028 4 7 8 8 10 9
Vardas103 Pavardė103 2 4 5 6 10 8
Vardas1031 Pavardė1031 2 4 5 9 10 6
Vardas1034 Pavardė1034 2 6 6 6 9 5
Vardas1035 Pavardė1035 4 5 6 6 8 7
Vardas1036 Pavardė1036 3 5 5 7 7 8
Vardas1038 Pavardė1038 2 8 9 10 10 7
Vardas1039 Pavardė1039 2 5 6 6 8 9
Vardas104 Pavardė104 2 5 9 9 10 8
Vardas1040 Pavardė1040 5 6 9 9 10 10
Vardas1042 Pavardė1042 2 2 3 3 8 9
Vardas1043 Pavardė1043 4 5 7 8 10 6
Vardas1044 Pavardė1044 2 4 6 6 7 7
Vardas1045 Pavardė1045 3 3 4 8 8 10
Vardas1046 Pavardė1046 3 4 7 7 9 10
Vardas1048 Pavardė1048 2 5 8 9 10 8
Vardas1049 Pavardė1049 2 3 7 8 10 10
Vardas105 Pavardė105 5 6 7 9 10 9
Vardas1052 Pavardė1052 2 4 6 7 10 9
Vardas1053 Pavardė1053 4 4 5 7 10 5
Vardas1056 Pavardė1056 6 8 9 9 10 8
Vardas1058 Pavardė1058 5 5 5 5 7 10
Vardas1059 Pavardė1059 2 2 3 8 8 7
Vardas106 Pavardė106 2 2 4 6 8 10
Vardas1061 Pavardė1061 6 7 7 8 9 8
Vardas1062 Pavardė1062 6 6 7 8 10 8
Vardas1063 Pavardė1063 3 5 8 9 10 5
Vardas1064 Pavardė1064 3 6 7 8 9 8
Vardas1065 Pavardė1065 3 4 5 6 8 9
Vardas1066 Pavardė1066 2 4 4 5 6 6
Vardas1067 Pavardė1067 5 7 7 8 10 6
Vardas1068 Pavardė1068 2 3 4 8 8 10
Vardas1069 Pavardė1069 2 5 8 9 10 9
Vardas107 Pavardė107 5 9 9 10 10 5
Vardas1071 Pavardė1071 2 5 6 6 8 5
Vardas1078 Pavardė1078 3 4 7 9 10 6
Vardas1079 Pavardė1079 4 4 5 5 7 7
Vardas108 Pavardė108 2 4 5 6 6 10
Vardas1080 Pavardė1080 2 2 2 8 10 7
Vardas1082 Pavardė1082 2 2 8 10 10 8
Vardas1083 Pavardė1083 3 5 5 5 10 7
Vardas1084 Pavardė1084 7 8 9 10 10 6
Vardas1085 Pavardė1085 5 6 7 8 10 5
Vardas1087 Pavardė1087 2 5 5 6 10 10
Vardas1088 Pavardė1088 6 7 8 8 10 10
Vardas1089 Pavardė1089 3 5 6 8 8 9
Vardas1092 Pavardė1092 8 8 9 10 10 7
Vardas1094 Pavardė1094 5 7 8 9 9 10
Vardas1096 Pavardė1096 6 7 7 8 9 8
Vardas1097 Pavardė1097 4 6 9 9 9 7
Vardas1098 Pavardė1098 5 7 8 8 9 4
Vardas11 Pavardė11 3 3 5 7 9 5
Vardas110 Pavardė110 4 8 9 10 10 10
Vardas1101 Pavardė1101 3 4 5 7 10 8
Vardas1103 Pavardė1103 6 6 8 9 10 5
Vardas1106 Pavardė1106 2 3 5 6 6 10
Vardas1107 Pavardė1107 4 6 7 7 7 10
Vardas1108 Pavardė1108 2 2 3 6 8 10
Vardas1109 Pavardė1109 5 8 9 10 10 10
Vardas1110 Pavardė1110 2 5 5 5 6 7
Vardas1111 Pavardė1111 3 4 5 5 9 6
Vardas1112 Pavardė1112 3 6 7 9 10 10
Vardas1114 Pavardė1114 2 3 7 8 9 5
Vardas1117 Pavardė1117 2 3 6 8 8 5
Vardas112 Pavardė112 2 2 3 7 10 8
Vardas1120 Pavardė1120 3 3 3 4 6 10
Vardas1121 Pavardė1121 2 2 3 4 9 6
Vardas1122 Pavardė1122 3 6 8 8 10 7
Vardas1123 Pavardė1123 5 5 9 10 10 4
Vardas1124 Pavardė1124 2 3 6 9 9 7
Vardas1126 Pavardė1126 3 5 6 7 10 6
Vardas1129 Pavardė1129 3 5 7 10 10 10
Vardas113 Pavardė113 2 2 3 9 9 6
Vardas1130 Pavardė1130 4 5 7 8 10 7
Vardas1131 Pavardė1131 2 3 3 9 10 10
Vardas1132 Pavardė1132 8 8 9 9 10 7
Vardas1134 Pavardė1134 2 6 6 7 9 10
Vardas1135 Pavardė1135 5 5 7 10 10 5
Vardas1137 Pavardė1137 4 5 6 6 10 9
Vardas1138 Pavardė1138 2 2 3 7 9 10
Vardas114 Pavardė114 2 3 5 5 6 9
Vardas1140 Pavardė1140 5 5 6 6 8 7
Vardas1142 Pavardė1142 3 4 6 6 9 6
Vardas1144 Pavardė1144 2 7 7 8 9 6
Vardas1145 Pavardė1145 2 5 5 7 10 10
Vardas1146 Pavardė1146 2 4 4 6 7 9
Vardas1147 Pavardė1147 2 3 4 6 9 7
Vardas1148 Pavardė1148 2 4 5 9 10 6
