Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 2 4 4 8 10 9
Vardas100 Pavardė100 4 4 4 5 7 10
Vardas1000 Pavardė1000 4 5 6 9 9 9
Vardas10001 Pavardė10001 3 5 7 7 9 5
Vardas10002 Pavardė10002 2 3 5 6 9 6
Vardas10003 Pavardė10003 3 6 7 8 9 6
Vardas10004 Pavardė10004 2 4 7 7 10 6
Vardas10006 Pavardė10006 2 3 6 6 9 10
Vardas10008 Pavardė10008 2 5 6 6 9 8
Vardas10009 Pavardė10009 4 5 6 7 9 6
Vardas1001 Pavardė1001 2 8 10 10 10 9
Vardas10010 Pavardė10010 3 6 6 7 9 10
Vardas10011 Pavardė10011 3 4 5 7 8 9
Vardas10012 Pavardė10012 3 4 5 9 10 8
Vardas10013 Pavardė10013 2 5 6 8 9 7
Vardas10016 Pavardė10016 2 4 5 7 8 5
Vardas1002 Pavardė1002 2 3 5 7 8 5
Vardas10020 Pavardė10020 2 6 8 8 9 10
Vardas10021 Pavardė10021 2 4 5 6 7 10
Vardas10022 Pavardė10022 2 3 7 7 10 8
Vardas10025 Pavardė10025 2 3 4 8 9 9
Vardas10026 Pavardė10026 3 4 4 8 10 6
Vardas10027 Pavardė10027 2 2 7 9 9 9
Vardas10032 Pavardė10032 3 3 8 9 10 7
Vardas10034 Pavardė10034 4 4 8 9 9 5
Vardas10035 Pavardė10035 4 8 9 9 10 5
Vardas10036 Pavardė10036 2 4 5 7 8 7
Vardas10037 Pavardė10037 4 5 7 8 9 6
Vardas10039 Pavardė10039 4 8 8 9 9 8
Vardas1004 Pavardė1004 3 6 6 7 7 6
Vardas10041 Pavardė10041 3 4 4 4 9 7
Vardas10042 Pavardė10042 2 3 5 7 10 10
Vardas10044 Pavardė10044 3 4 6 6 7 7
Vardas10047 Pavardė10047 2 4 5 5 10 5
Vardas10048 Pavardė10048 3 6 8 9 10 6
Vardas10049 Pavardė10049 4 6 7 8 9 5
Vardas1005 Pavardė1005 2 3 5 5 8 9
Vardas10053 Pavardė10053 2 6 6 7 10 6
Vardas10054 Pavardė10054 2 4 7 8 9 7
