Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 4 4 7 8 9 4
Vardas2 Pavardė2 2 8 9 9 10 3
Vardas3 Pavardė3 3 4 5 7 10 5
Vardas4 Pavardė4 6 6 8 10 10 2
Vardas5 Pavardė5 2 3 5 8 8 10
Vardas6 Pavardė6 2 7 9 10 10 7
Vardas7 Pavardė7 2 4 7 8 9 3
Vardas8 Pavardė8 3 5 7 7 10 4
Vardas9 Pavardė9 3 4 4 5 5 6
Vardas10 Pavardė10 6 7 7 9 10 4
Vardas11 Pavardė11 3 3 4 5 9 10
Vardas12 Pavardė12 2 5 5 6 8 2
Vardas13 Pavardė13 2 6 6 7 9 6
Vardas14 Pavardė14 3 5 6 7 9 9
Vardas15 Pavardė15 4 4 4 8 8 8
Vardas16 Pavardė16 2 2 3 4 6 2
Vardas17 Pavardė17 3 5 6 7 9 9
Vardas18 Pavardė18 4 6 7 8 8 7
Vardas19 Pavardė19 2 4 5 7 10 5
Vardas20 Pavardė20 3 3 4 7 10 3
Vardas21 Pavardė21 2 3 4 8 10 10
Vardas22 Pavardė22 2 4 4 8 10 7
Vardas23 Pavardė23 3 3 5 7 8 4
Vardas24 Pavardė24 2 2 4 6 10 6
Vardas25 Pavardė25 2 5 8 9 10 3
Vardas26 Pavardė26 4 4 4 7 7 10
Vardas27 Pavardė27 3 6 6 6 6 3
Vardas28 Pavardė28 2 3 7 10 10 5
Vardas29 Pavardė29 2 5 6 9 10 6
Vardas30 Pavardė30 2 4 7 9 10 5
Vardas31 Pavardė31 3 3 4 8 10 9
Vardas32 Pavardė32 2 6 6 7 9 9
Vardas33 Pavardė33 2 2 2 7 10 7
Vardas34 Pavardė34 4 5 7 7 8 3
Vardas35 Pavardė35 3 6 7 9 9 10
Vardas36 Pavardė36 4 5 6 7 7 3
Vardas37 Pavardė37 2 3 5 8 9 4
Vardas38 Pavardė38 2 4 8 9 10 8
Vardas39 Pavardė39 4 5 6 7 10 3
Vardas40 Pavardė40 2 2 5 6 9 8
Vardas41 Pavardė41 3 4 4 8 10 5
Vardas42 Pavardė42 3 5 5 6 9 2
Vardas43 Pavardė43 2 5 5 7 10 4
Vardas44 Pavardė44 2 6 7 8 10 8
Vardas45 Pavardė45 2 3 6 7 10 4
Vardas46 Pavardė46 2 5 5 6 8 10
Vardas47 Pavardė47 4 6 7 8 10 8
Vardas48 Pavardė48 2 4 6 8 8 4
Vardas49 Pavardė49 2 2 3 5 9 7
Vardas50 Pavardė50 2 4 8 8 10 2
Vardas51 Pavardė51 2 2 6 8 10 9
Vardas52 Pavardė52 3 5 7 9 10 8
Vardas53 Pavardė53 4 4 5 8 8 7
Vardas54 Pavardė54 2 2 5 6 6 2
Vardas55 Pavardė55 2 2 10 10 10 5
Vardas56 Pavardė56 2 3 4 7 8 8
Vardas57 Pavardė57 3 5 6 6 6 8
Vardas58 Pavardė58 3 4 5 8 10 2
Vardas59 Pavardė59 5 7 7 9 9 2
Vardas60 Pavardė60 4 7 7 7 9 7
Vardas61 Pavardė61 4 7 8 9 10 2
Vardas62 Pavardė62 2 2 5 7 7 8
Vardas63 Pavardė63 6 6 7 10 10 3
Vardas64 Pavardė64 2 3 6 7 9 3
Vardas65 Pavardė65 4 4 6 9 10 6
Vardas66 Pavardė66 5 5 6 8 10 8
Vardas67 Pavardė67 2 2 3 5 7 4
Vardas68 Pavardė68 2 3 4 4 10 7
Vardas69 Pavardė69 2 2 8 10 10 5
Vardas70 Pavardė70 2 4 5 7 7 3
Vardas71 Pavardė71 2 3 4 5 9 4
Vardas72 Pavardė72 3 7 7 8 9 7
Vardas73 Pavardė73 2 3 4 6 7 6
Vardas74 Pavardė74 4 4 5 6 10 10
Vardas75 Pavardė75 2 4 4 7 8 5
Vardas76 Pavardė76 3 4 5 6 8 4
Vardas77 Pavardė77 2 4 6 7 8 5
Vardas78 Pavardė78 2 2 6 7 8 9
Vardas79 Pavardė79 2 3 3 3 5 5
Vardas80 Pavardė80 4 8 9 9 10 7
Vardas81 Pavardė81 3 4 5 6 9 9
Vardas82 Pavardė82 4 4 8 10 10 2
Vardas83 Pavardė83 4 6 8 9 9 7
Vardas84 Pavardė84 3 4 4 9 10 4
Vardas85 Pavardė85 2 6 7 10 10 10
Vardas86 Pavardė86 4 4 7 7 8 10
Vardas87 Pavardė87 2 5 6 8 8 4
Vardas88 Pavardė88 2 3 5 6 8 3
Vardas89 Pavardė89 4 4 6 6 7 6
Vardas90 Pavardė90 3 3 5 6 10 10
Vardas91 Pavardė91 2 3 5 5 8 5
Vardas92 Pavardė92 2 6 9 10 10 8
Vardas93 Pavardė93 3 4 4 8 8 5
Vardas94 Pavardė94 3 3 7 8 10 8
Vardas95 Pavardė95 2 4 5 8 8 4
Vardas96 Pavardė96 2 3 3 7 7 4
Vardas97 Pavardė97 5 5 5 8 8 7
Vardas98 Pavardė98 3 4 6 6 8 9
Vardas99 Pavardė99 4 4 4 6 8 5
Vardas100 Pavardė100 2 4 6 6 8 4
Vardas101 Pavardė101 2 4 4 7 9 2
Vardas102 Pavardė102 4 5 7 7 8 4
Vardas103 Pavardė103 5 5 6 7 9 6
Vardas104 Pavardė104 2 4 4 4 9 5
Vardas105 Pavardė105 4 5 7 9 10 2
Vardas106 Pavardė106 3 4 5 8 10 5
Vardas107 Pavardė107 3 5 7 8 10 6
Vardas108 Pavardė108 2 2 3 8 8 3
Vardas109 Pavardė109 2 7 8 9 9 9
Vardas110 Pavardė110 3 4 7 8 8 8
Vardas111 Pavardė111 4 4 6 6 10 4
Vardas112 Pavardė112 2 2 4 9 9 4
Vardas113 Pavardė113 2 3 6 6 7 8
Vardas114 Pavardė114 3 6 6 10 10 2
Vardas115 Pavardė115 2 4 7 8 10 6
Vardas116 Pavardė116 3 4 4 4 5 8
Vardas117 Pavardė117 6 6 8 10 10 4
Vardas118 Pavardė118 2 7 8 10 10 2
Vardas119 Pavardė119 3 3 4 4 6 3
Vardas120 Pavardė120 5 6 7 8 8 5
Vardas121 Pavardė121 2 5 5 7 10 6
Vardas122 Pavardė122 4 4 4 5 9 10
Vardas123 Pavardė123 4 4 5 7 9 2
Vardas124 Pavardė124 2 2 7 9 10 10
Vardas125 Pavardė125 2 3 5 6 9 2
Vardas126 Pavardė126 3 7 7 10 10 9
Vardas127 Pavardė127 5 5 6 7 8 2
Vardas128 Pavardė128 2 3 4 7 9 3
Vardas129 Pavardė129 3 5 7 7 9 10
Vardas130 Pavardė130 4 4 6 10 10 8
Vardas131 Pavardė131 6 6 6 7 9 5
Vardas132 Pavardė132 3 4 7 7 8 3
