Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 2 2 3 3 7 8
Vardas10 Pavardė10 3 5 7 8 8 5
Vardas100 Pavardė100 2 5 6 7 8 7
Vardas1000 Pavardė1000 2 8 9 9 10 10
Vardas101 Pavardė101 4 4 5 9 9 6
Vardas102 Pavardė102 3 3 5 7 9 6
Vardas105 Pavardė105 5 6 7 7 7 10
Vardas110 Pavardė110 2 3 6 8 10 8
Vardas111 Pavardė111 4 7 9 10 10 8
Vardas112 Pavardė112 2 4 5 6 6 9
Vardas113 Pavardė113 3 5 6 6 9 5
Vardas114 Pavardė114 2 3 4 4 5 6
Vardas118 Pavardė118 2 4 4 8 9 9
Vardas119 Pavardė119 4 5 6 7 7 5
Vardas12 Pavardė12 4 8 8 8 8 8
Vardas120 Pavardė120 2 4 6 6 10 10
Vardas121 Pavardė121 4 6 7 9 10 8
Vardas122 Pavardė122 2 4 5 10 10 8
Vardas123 Pavardė123 2 2 5 7 10 6
Vardas124 Pavardė124 2 3 3 9 10 6
Vardas129 Pavardė129 5 6 7 7 8 5
Vardas130 Pavardė130 3 8 9 9 10 8
Vardas131 Pavardė131 6 6 9 9 10 7
Vardas133 Pavardė133 4 8 9 9 10 8
Vardas134 Pavardė134 4 4 4 8 9 6
Vardas135 Pavardė135 4 5 6 8 8 7
Vardas136 Pavardė136 3 5 5 8 10 7
Vardas137 Pavardė137 2 3 4 7 8 9
Vardas139 Pavardė139 2 3 6 6 10 8
Vardas14 Pavardė14 4 6 6 8 9 6
Vardas140 Pavardė140 3 3 4 5 8 8
Vardas141 Pavardė141 4 7 9 10 10 5
Vardas143 Pavardė143 2 3 5 9 10 7
Vardas145 Pavardė145 2 3 7 8 8 8
Vardas147 Pavardė147 3 4 4 5 10 10
Vardas148 Pavardė148 4 5 8 10 10 6
Vardas15 Pavardė15 2 2 3 5 6 9
Vardas151 Pavardė151 5 5 6 7 10 9
Vardas153 Pavardė153 4 8 9 9 10 10
Vardas154 Pavardė154 3 3 6 8 9 5
Vardas155 Pavardė155 4 6 6 6 9 6
Vardas157 Pavardė157 2 3 6 8 8 7
Vardas158 Pavardė158 4 5 5 9 10 10
Vardas16 Pavardė16 2 3 5 6 7 9
Vardas160 Pavardė160 2 2 6 8 8 8
Vardas161 Pavardė161 4 7 7 7 9 9
Vardas164 Pavardė164 2 3 4 4 5 8
Vardas165 Pavardė165 3 5 5 5 8 8
Vardas169 Pavardė169 3 4 8 9 10 10
Vardas17 Pavardė17 3 3 4 5 7 8
Vardas170 Pavardė170 3 4 4 9 9 5
Vardas171 Pavardė171 3 4 6 9 10 9
Vardas173 Pavardė173 3 3 5 8 10 7
Vardas174 Pavardė174 2 4 5 8 9 6
Vardas176 Pavardė176 3 6 9 9 10 4
Vardas177 Pavardė177 4 4 4 7 8 6
Vardas179 Pavardė179 2 2 9 10 10 7
Vardas18 Pavardė18 2 2 4 7 10 5
Vardas180 Pavardė180 3 5 6 8 10 9
Vardas181 Pavardė181 5 6 6 6 10 10
Vardas182 Pavardė182 5 6 7 7 10 10
Vardas183 Pavardė183 2 2 3 5 10 10
Vardas185 Pavardė185 2 3 3 6 10 10
Vardas186 Pavardė186 2 6 7 8 9 10
Vardas187 Pavardė187 6 6 7 8 10 8
Vardas188 Pavardė188 2 3 4 4 10 7
Vardas189 Pavardė189 5 8 8 9 9 10
Vardas19 Pavardė19 5 8 8 8 10 10
Vardas190 Pavardė190 4 5 6 8 9 10
Vardas191 Pavardė191 5 5 6 6 9 6
Vardas192 Pavardė192 4 5 5 6 6 8
Vardas193 Pavardė193 2 2 5 7 7 7
Vardas194 Pavardė194 2 5 6 7 10 6
Vardas195 Pavardė195 3 6 8 9 10 5
Vardas196 Pavardė196 3 3 5 10 10 6
Vardas198 Pavardė198 3 3 5 7 9 7
Vardas199 Pavardė199 2 4 9 10 10 9
Vardas20 Pavardė20 4 4 5 9 9 9
Vardas200 Pavardė200 3 3 6 10 10 5
Vardas203 Pavardė203 2 4 4 5 10 6
Vardas205 Pavardė205 5 6 7 7 9 9
Vardas207 Pavardė207 3 3 8 9 10 9
Vardas209 Pavardė209 2 2 2 3 8 9
Vardas211 Pavardė211 3 6 7 8 8 9
Vardas214 Pavardė214 3 4 7 7 9 6
Vardas216 Pavardė216 2 5 6 6 6 10
Vardas218 Pavardė218 2 2 6 6 8 9
Vardas219 Pavardė219 2 6 6 7 8 8
Vardas22 Pavardė22 7 8 9 10 10 4
Vardas221 Pavardė221 5 5 5 8 10 8
Vardas222 Pavardė222 6 8 9 10 10 7
