Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavardė1 2 4 6 6 7 3
Vardas10 Pavardė10 2 3 4 5 10 5
Vardas17 Pavardė17 6 8 8 9 9 2
Vardas2 Pavardė2 2 3 3 6 10 2
Vardas22 Pavardė22 2 4 4 9 10 4
Vardas24 Pavardė24 2 3 4 6 6 3
Vardas27 Pavardė27 3 5 5 6 8 4
Vardas29 Pavardė29 2 2 5 6 10 2
Vardas31 Pavardė31 2 4 5 7 7 4
Vardas33 Pavardė33 2 4 9 9 9 2
Vardas35 Pavardė35 2 6 9 9 10 3
Vardas39 Pavardė39 2 4 5 7 7 2
Vardas40 Pavardė40 2 2 2 2 5 5
Vardas41 Pavardė41 2 3 7 8 10 4
Vardas44 Pavardė44 2 3 3 6 9 5
Vardas5 Pavardė5 2 3 3 3 5 2
Vardas50 Pavardė50 6 8 9 10 10 2
Vardas53 Pavardė53 7 8 9 9 10 3
Vardas57 Pavardė57 2 2 5 6 10 3
Vardas64 Pavardė64 2 2 6 7 10 4
Vardas65 Pavardė65 2 3 4 5 10 5
Vardas66 Pavardė66 2 3 3 6 8 4
Vardas67 Pavardė67 2 3 6 6 7 4
Vardas68 Pavardė68 2 3 6 6 6 5
Vardas7 Pavardė7 2 2 6 10 10 4
Vardas71 Pavardė71 2 3 6 10 10 2
Vardas73 Pavardė73 5 7 7 9 9 3
Vardas76 Pavardė76 2 2 4 5 9 2
Vardas80 Pavardė80 2 2 2 8 9 2
Vardas82 Pavardė82 2 3 5 5 6 5
Vardas85 Pavardė85 2 5 6 8 10 2
Vardas86 Pavardė86 2 2 3 4 5 4
Vardas87 Pavardė87 2 6 8 9 9 3
Vardas90 Pavardė90 2 5 5 6 10 4
Vardas91 Pavardė91 2 2 3 4 6 5
Vardas93 Pavardė93 3 4 8 8 8 3
Vardas97 Pavardė97 3 4 5 6 10 2
