Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas10 Pavardė10 4 5 5 9 10 2
Vardas10000 Pavardė10000 2 2 2 4 7 3
Vardas100000 Pavardė100000 2 5 7 8 8 2
Vardas10005 Pavardė10005 2 7 8 9 9 2
Vardas10007 Pavardė10007 3 4 5 6 8 2
Vardas10014 Pavardė10014 5 7 7 7 7 2
Vardas10015 Pavardė10015 4 4 4 7 8 2
Vardas10017 Pavardė10017 7 7 9 10 10 2
Vardas10018 Pavardė10018 3 4 5 6 8 4
Vardas10019 Pavardė10019 2 4 5 10 10 4
Vardas10023 Pavardė10023 2 3 6 8 10 3
Vardas10024 Pavardė10024 3 9 9 10 10 3
Vardas10028 Pavardė10028 2 3 7 10 10 2
Vardas10029 Pavardė10029 4 5 7 8 10 2
Vardas1003 Pavardė1003 4 4 8 10 10 3
Vardas10030 Pavardė10030 2 5 7 7 9 3
Vardas10031 Pavardė10031 3 5 7 7 10 2
Vardas10033 Pavardė10033 2 2 3 8 9 4
Vardas10038 Pavardė10038 3 3 4 5 6 3
Vardas10040 Pavardė10040 4 8 8 9 9 2
Vardas10043 Pavardė10043 2 2 5 6 6 2
Vardas10045 Pavardė10045 3 4 6 8 10 3
Vardas10046 Pavardė10046 2 3 7 8 10 4
Vardas10050 Pavardė10050 6 6 7 8 9 3
Vardas10051 Pavardė10051 4 6 7 8 9 4
Vardas10052 Pavardė10052 2 2 4 5 8 2
Vardas10058 Pavardė10058 2 4 6 8 10 4
Vardas1006 Pavardė1006 2 2 2 6 9 5
Vardas10061 Pavardė10061 4 4 5 6 10 4
Vardas10062 Pavardė10062 2 3 4 8 10 2
Vardas10064 Pavardė10064 4 6 8 8 10 4
Vardas10065 Pavardė10065 2 6 8 9 9 4
Vardas1007 Pavardė1007 2 4 4 8 8 4
Vardas10077 Pavardė10077 3 4 5 8 10 2
Vardas10078 Pavardė10078 6 7 7 8 8 4
Vardas10082 Pavardė10082 2 7 9 9 9 4
Vardas10086 Pavardė10086 2 2 4 5 10 5
Vardas10087 Pavardė10087 2 2 4 6 8 3
Vardas10093 Pavardė10093 2 3 4 8 10 3
Vardas10094 Pavardė10094 2 3 3 4 6 4
Vardas10095 Pavardė10095 4 5 5 5 5 3
Vardas10097 Pavardė10097 3 3 5 9 10 2
Vardas101 Pavardė101 2 6 7 8 10 2
Vardas10103 Pavardė10103 3 3 4 9 9 2
Vardas10104 Pavardė10104 2 3 5 5 7 2
Vardas10117 Pavardė10117 3 4 5 7 10 2
Vardas10118 Pavardė10118 3 4 7 9 9 4
Vardas10119 Pavardė10119 2 3 6 7 10 2
Vardas1012 Pavardė1012 2 3 5 8 10 2
Vardas10121 Pavardė10121 3 4 6 8 8 2
Vardas10123 Pavardė10123 2 6 8 9 9 4
Vardas10126 Pavardė10126 3 3 5 6 9 4
Vardas10127 Pavardė10127 2 3 4 5 6 3
Vardas1013 Pavardė1013 3 4 8 8 9 2
Vardas10138 Pavardė10138 2 2 4 4 5 4
Vardas1014 Pavardė1014 3 3 4 5 8 2
Vardas10143 Pavardė10143 5 6 7 7 9 3
Vardas10145 Pavardė10145 7 7 7 7 10 2
Vardas10147 Pavardė10147 3 4 6 9 9 2
Vardas10149 Pavardė10149 5 6 7 8 10 4
Vardas10153 Pavardė10153 2 5 6 8 9 4
Vardas10155 Pavardė10155 2 5 6 6 7 4
Vardas10161 Pavardė10161 2 3 4 6 6 4
Vardas10162 Pavardė10162 2 6 6 6 10 3
Vardas10163 Pavardė10163 3 4 7 10 10 4
Vardas10164 Pavardė10164 2 6 8 8 8 3
Vardas10169 Pavardė10169 2 4 6 8 10 4
Vardas10170 Pavardė10170 4 5 9 9 9 4
Vardas10175 Pavardė10175 2 4 6 6 10 3
Vardas10176 Pavardė10176 3 3 4 4 7 2
Vardas10181 Pavardė10181 4 6 6 9 10 2
Vardas10184 Pavardė10184 2 4 5 6 6 2
Vardas10188 Pavardė10188 3 4 6 8 8 2
Vardas10197 Pavardė10197 2 2 5 7 9 2
Vardas10198 Pavardė10198 4 5 6 8 10 4
Vardas102 Pavardė102 2 5 6 6 10 4
Vardas1020 Pavardė1020 2 3 9 10 10 2
Vardas10200 Pavardė10200 3 3 4 9 9 3
Vardas10202 Pavardė10202 2 5 8 9 9 4
Vardas10208 Pavardė10208 2 2 4 4 8 5
Vardas10210 Pavardė10210 2 4 5 6 8 3
Vardas10212 Pavardė10212 2 3 3 10 10 3
Vardas10214 Pavardė10214 3 6 7 7 8 2
Vardas10217 Pavardė10217 2 3 4 6 9 5
Vardas10226 Pavardė10226 2 3 3 5 5 2
Vardas10227 Pavardė10227 2 3 5 7 8 4
Vardas10229 Pavardė10229 2 3 4 6 10 4
Vardas10231 Pavardė10231 3 4 7 8 9 4
Vardas10233 Pavardė10233 3 5 5 7 9 4
Vardas10237 Pavardė10237 2 2 3 4 10 5
Vardas10241 Pavardė10241 2 5 6 7 10 3
Vardas10244 Pavardė10244 2 3 7 8 10 4
Vardas10245 Pavardė10245 3 4 6 9 10 4
Vardas10248 Pavardė10248 3 3 6 6 7 4
Vardas10249 Pavardė10249 2 4 5 9 9 4
Vardas10252 Pavardė10252 3 6 6 8 10 4
Vardas10253 Pavardė10253 3 5 7 7 8 3
Vardas10255 Pavardė10255 2 4 7 9 10 3
Vardas10257 Pavardė10257 2 3 5 6 10 4
Vardas1026 Pavardė1026 2 5 8 9 10 2
Vardas10266 Pavardė10266 4 6 7 8 10 4
Vardas10267 Pavardė10267 3 5 5 7 7 4
Vardas10274 Pavardė10274 4 5 7 8 8 3
Vardas10275 Pavardė10275 3 4 8 8 9 4
Vardas10276 Pavardė10276 2 4 8 8 10 2
Vardas10277 Pavardė10277 3 5 6 9 10 3
Vardas1028 Pavardė1028 3 3 3 5 10 5
Vardas10280 Pavardė10280 2 3 3 6 10 4
Vardas10282 Pavardė10282 2 3 6 7 8 4
Vardas10287 Pavardė10287 2 6 6 7 8 4
Vardas10290 Pavardė10290 3 5 8 9 10 2
Vardas10291 Pavardė10291 2 2 5 8 9 3
Vardas10294 Pavardė10294 2 8 8 10 10 3
Vardas10295 Pavardė10295 2 2 3 4 10 3
Vardas10302 Pavardė10302 2 2 5 7 9 2
Vardas10309 Pavardė10309 4 5 7 8 9 3
Vardas10310 Pavardė10310 2 2 2 7 9 3
Vardas10316 Pavardė10316 3 5 8 8 10 4
Vardas10324 Pavardė10324 2 3 5 9 10 2
Vardas10327 Pavardė10327 5 5 5 6 8 4
Vardas10329 Pavardė10329 2 2 3 4 8 4
Vardas10332 Pavardė10332 2 4 6 9 10 3
Vardas10336 Pavardė10336 3 6 7 8 9 4
Vardas10339 Pavardė10339 2 2 5 7 8 5
Vardas10340 Pavardė10340 2 6 6 8 10 3
Vardas10342 Pavardė10342 3 7 8 10 10 2
Vardas10344 Pavardė10344 2 4 7 7 10 4
Vardas10348 Pavardė10348 4 8 8 9 10 3
Vardas1035 Pavardė1035 3 5 5 7 8 3
Vardas10352 Pavardė10352 2 4 4 6 10 2
Vardas10354 Pavardė10354 3 6 8 9 9 3
Vardas10355 Pavardė10355 2 3 3 8 9 4
Vardas10358 Pavardė10358 2 5 7 8 10 2
Vardas10360 Pavardė10360 2 5 6 10 10 4
Vardas10362 Pavardė10362 2 2 5 5 10 2
Vardas10364 Pavardė10364 3 4 5 5 10 2
Vardas1037 Pavardė1037 2 5 6 9 9 2
Vardas10371 Pavardė10371 3 5 7 7 10 2
